SiteID,SiteName,City,Region,Latitude,Longitude,Elevation
YB, J. Ybarlucea's farm,Ayr,Qld,-19.5,147,
AG,A. Girgentti,,,,,
AD,Adil Farming Co.,Mossman,Qld (Biboohra),-34.45,149.6,
AP,Andrew Powell,Mackay,Qld,,,
CL,B Clerk,Bambaroo,Qld,,,
BL,B Lerch,Kununurra,WA (Bardeena),,,
BJ,B. Johnson,"Abergowrie,  Ingham",Qld,,,
JH,"B.Johnson,  Abergowrie",Ingham,Qld,,,
PC,Bambaroo,R. Pace Farm,Qld,-18.9,146.2,
ES,Blamey,"Eston,  KZN",South Africa,-29,30,800
BG,"Borgna, Feluga",Tully,Qld,,,
BS,BSES,Bundaberg,Qld,-24.51,152.24,27
CC,C. Cavallo,,,,,
CT,Caltabiano,Mossman,Qld,,,
CR,Cameron,Mackay,Qld,,,
SC,"Charlie Scriha, Finch Hatton",Mackay,Qld,,,
CH,"Clarie Hall, Wagoora",Mackay,Qld,,,
CF,"Cornford, Kalamia",Burdekin,Qld,,,
CB,Cummings Bros.,Kununurra,WA,,,
CZ,"Cuzzubo,  Macknade",Ingham,Qld,,,
DC,D Causley  (Jenolo P/L),Kununurra, WA,,,
DL,D.Lawson,Bundaberg,Qld,,,
DS,D.Salvetti (Walkamin),Mossman,Qld,,,
DA,"Dan Argent,  Finch Hatton",Mackay,Qld,,,
DK,"Darryl Kane,  Gargett",Mackay,Qld,,,
FB,F Bolten,Kununurra,WA,,,
FM,Fairymead,Bundaberg,Qld,,,
KR,Frank Wise Institute,Kununurra,WA,,,
ZN,G & R Zanetti's,Ayr,Qld,-19.5,147.3,
GG,G Gardiner,Kununurra,WA,,,
MI,G Millard,Dumbleton,Qld,,,
GM,G&R Mock  (Kimberley Milk),Kununurra,WA,,,
GW,G.Webb,Bundaberb,Qld,,,
HC,Hancock,Mossman,Qld,,,
HW,Harwood Mill Farm - Mizer,Harwood,NSW,-29.5,153.3,
MU,Hawaiian Commercial & Sugar Co,Maui,Hawaii,,,
KU,HSPA Kunia Substation,HSPA Kunia Substation,Hawaii,21.23,158.02,87
BR,Ian Haig Farm,Burdekin,Qld,,,
IR,"Ian Ritchie, Walkerston",Mackay,Qld,,,
IH,Innes Holdings,Kununurra,WA,,,
JS,J & H Scott,Kununurra,WA,,,
JA,Joe Attard,Wagoora,Qld,,,
JM,Joe Muscatt,Gargett,Qld,,,
CS,"K Castorina, Lannercost Extension",Ingham,Qld,,,
KL,Kalamia Estate,Ayr,Qld,-19.5,147,
KC,Kelsey Creek,Prosperine,Qld,-20.44,148.46,
KN,Kununurra,Kununurra,WA,-15.51,128.68,
MB,L. Marbelli,,,,,
LM,La Mercy,Natal,South Africa,-29.35,31.07,
MK,Macknade Research Station,Ingham,Qld,-18.07,146.02,20
MA,Makiki Experiment Station,Oahu,Hawaii,21.23,158,27
MH,Manhatten,Kansas,USA,,,
MG,Michael Grech,Sunnyside,Qld,,,
NS,N Smith,Kununurra,WA,,,
NY,Neville Young,Walkerston/ Palmyra,Qld,,,
NV,Nic Voss,Gargett,Qld,,,
NB,NJ & PD Buchanan,Kununurra,WA,,,
GR,NSW Ag.Res.Stn.,Grafton,NSW,-29.5,152.5,
OS,Oahu Sugar Company,Oahu,Hawaii,21.2,158,
OB,Oasis Bananas  (H&V Diederichsen),Kununurra,WA,,,
PP,P & G Pegg,Kununurra,WA,,,
PG,Page  Gidy Rd,Ayr,Qld,,,
PB,"Paul Bohem, Sunnyside",Mackay,Qld,,,
MZ,Paul Mizzi,Ingham,Qld,,,
PO,Pongola,Natal,South Africa,-27.5,31.5,308
PW,Powell,Mackay,Qld,,,
P1,Proserpine Site 1,Proserpine,Qld,,,
PR,R & D Rogers,Kununurra,WA,,,
RL,R N Lerch Holdings,Kununurra,WA,,,
RD,R.B. Dessert & Co.,Kununurra,WA,,,
RS,RO Smith & Sons(Darryl),Kununurra,WA,,,
SA,S Adil (Biboohra),Mossman,Qld,,,
SS,S. Sheehan,,,,,
BU,Schulte Farm,Bundaberg,Qld,-24.51,152.24,27
SX,"Sexton, Millaroo",Burdekin,Qld,,,
VC,"Vecchio, Euramo",Tully,Qld,,,
VT,"Vitale,  Macknade",Ingham,Qld,,,
WB,W & G Bloecker,Kununurra,WA (Bothkamp),,,
WM,W McAveilly  (P & G Pegg),Kununurra,WA,,,
WA,Waipio Experiment Station,Oahu,Hawaii,21.23,187,27
WL,"Wallace, Wagoora",Mackay,Qld,,,
WW,"Warwick Westcott, Sunnyside",Mackay,Qld,,,
WT,Waterson,Prosperine,Qld,-20.36,148.48,
CA,,,,,,
